week,hour,day,day_type,southbound,northbound
2,19,Thurs,weekday,3757,4360
2,20,Thurs,weekday,2717,2615
2,21,Thurs,weekday,2221,1860
2,22,Thurs,weekday,1539,1384
2,23,Thurs,weekday,1225,893
2,0,Fri,weekday,923,558
2,1,Fri,weekday,612,317
2,2,Fri,weekday,368,320
2,3,Fri,weekday,330,642
2,4,Fri,weekday,661,1217
2,5,Fri,weekday,1453,1724
2,6,Fri,weekday,4944,3810
2,7,Fri,weekday,5835,5629
2,8,Fri,weekday,5435,5534
2,9,Fri,weekday,5059,5216
2,10,Fri,weekday,4790,4980
2,11,Fri,weekday,5193,5294
2,12,Fri,weekday,5711,5766
2,13,Fri,weekday,6238,6238
2,14,Fri,weekday,5963,6115
2,15,Fri,weekday,6083,5961
2,16,Fri,weekday,5890,5986
2,17,Fri,weekday,4958,5819
2,18,Fri,weekday,4439,5306
2,19,Fri,weekday,3872,4086
2,20,Fri,weekday,2846,2534
2,21,Fri,weekday,2154,1865
2,22,Fri,weekday,1634,1553
2,23,Fri,weekday,1652,1065
2,0,Sat,weekend,1082,713
2,1,Sat,weekend,704,449
2,2,Sat,weekend,537,441
2,3,Sat,weekend,543,683
2,4,Sat,weekend,572,1009
2,5,Sat,weekend,797,1168
2,6,Sat,weekend,1638,1575
2,7,Sat,weekend,2303,2369
2,8,Sat,weekend,2995,3138
2,9,Sat,weekend,4396,4101
2,10,Sat,weekend,4719,4770
2,11,Sat,weekend,5494,4402
2,12,Sat,weekend,5500,5631
2,13,Sat,weekend,6154,5983
2,14,Sat,weekend,5601,5788
2,15,Sat,weekend,5053,5178
2,16,Sat,weekend,4989,4957
2,17,Sat,weekend,4503,4465
2,18,Sat,weekend,4180,4107
2,19,Sat,weekend,2975,2977
2,20,Sat,weekend,1765,1677
2,21,Sat,weekend,1187,1111
2,22,Sat,weekend,1471,1250
2,23,Sat,weekend,1197,941
2,0,Sun,weekend,942,618
2,1,Sun,weekend,667,465
2,2,Sun,weekend,428,352
2,3,Sun,weekend,262,481
2,4,Sun,weekend,317,794
2,5,Sun,weekend,478,713
2,6,Sun,weekend,809,990
2,7,Sun,weekend,1096,1356
2,8,Sun,weekend,1642,1870
2,9,Sun,weekend,2820,3070
2,10,Sun,weekend,3886,3786
2,11,Sun,weekend,4704,4849
2,12,Sun,weekend,5266,5368
2,13,Sun,weekend,5807,6005
2,14,Sun,weekend,5399,5661
2,15,Sun,weekend,5056,5293
2,16,Sun,weekend,5198,5046
2,17,Sun,weekend,5057,4817
2,18,Sun,weekend,4899,4626
2,19,Sun,weekend,3696,3657
2,20,Sun,weekend,2670,2644
2,21,Sun,weekend,1744,1722
2,22,Sun,weekend,1409,1249
2,23,Sun,weekend,1470,720
3,0,Mon,weekday,913,483
3,1,Mon,weekday,572,281
3,2,Mon,weekday,466,281
3,3,Mon,weekday,327,535
3,4,Mon,weekday,615,1071
3,5,Mon,weekday,1565,1655
3,6,Mon,weekday,5459,3866
3,7,Mon,weekday,5977,5878
3,8,Mon,weekday,5541,5960
3,9,Mon,weekday,5265,5043
3,10,Mon,weekday,4511,4608
3,11,Mon,weekday,4610,4603
3,12,Mon,weekday,4815,4625
3,13,Mon,weekday,4934,4955
3,14,Mon,weekday,4978,5129
3,15,Mon,weekday,5826,5887
3,16,Mon,weekday,3986,5916
3,17,Mon,weekday,6187,5768
3,18,Mon,weekday,5291,5510
3,19,Mon,weekday,3266,3305
3,20,Mon,weekday,2519,2065
3,21,Mon,weekday,1986,1499
3,22,Mon,weekday,1202,1079
3,23,Mon,weekday,1061,699
3,0,Tues,weekday,901,479
3,1,Tues,weekday,600,282
3,2,Tues,weekday,390,252
3,3,Tues,weekday,268,472
3,4,Tues,weekday,591,909
3,5,Tues,weekday,1435,1618
3,6,Tues,weekday,5563,3975
3,7,Tues,weekday,5642,6030
3,8,Tues,weekday,5894,6053
3,9,Tues,weekday,5581,5686
3,10,Tues,weekday,5049,5005
3,11,Tues,weekday,4782,4721
3,12,Tues,weekday,4810,4948
3,13,Tues,weekday,5008,5220
3,14,Tues,weekday,5168,5296
3,15,Tues,weekday,5981,6140
3,16,Tues,weekday,6471,6315
3,17,Tues,weekday,5338,5910
3,18,Tues,weekday,4596,5387
3,19,Tues,weekday,3150,3989
3,20,Tues,weekday,2284,2180
3,21,Tues,weekday,1880,1530
3,22,Tues,weekday,1293,1213
3,23,Tues,weekday,1164,699
3,0,Wed,weekday,812,445
3,1,Wed,weekday,551,283
3,2,Wed,weekday,373,285
3,3,Wed,weekday,321,514
3,4,Wed,weekday,556,940
3,5,Wed,weekday,1375,1559
3,6,Wed,weekday,5227,3875
3,7,Wed,weekday,4857,5789
3,8,Wed,weekday,5548,5878
3,9,Wed,weekday,5687,5633
3,10,Wed,weekday,5079,5156
3,11,Wed,weekday,4642,4799
3,12,Wed,weekday,5039,5034
3,13,Wed,weekday,5143,5317
3,14,Wed,weekday,5306,5421
3,15,Wed,weekday,6230,6083
3,16,Wed,weekday,5993,5738
